sent|ortho|SAMPA
shd128|PUDO LEER la LETRA con las GAFAS GRUESAS|p u d o l e e r l a l e t r a k o n l a s g a f a s g r u e s a s
shd129|DEJÓ una BREVE NOTA de AMOR a su MUJER|d e x o u n a b r e b e n o t a d e a m o r a s u m u x e r
shd130|CADA COSA que DICE es SIEMPRE CIERTA|k a d a k o s a k e d i T e e s s i e m p r e T i e r t a
shd131|Un TROZO del TABLÓN se CLAVÓ en el SUELO de PINO|u n t r o T o d e l t a b l o n s e k l a b o e n e l s u e l o d e p i n o
shd132|HAY MANCHAS de BARRO en el PUENTE de HIERRO|a i m a n tS a s d e b a rr o e n e l p u e n t e d e jj e rr o
shd133|Las CALLES ESTÁN HECHAS con BREA DENSA|l a s k a L e s e s t a n e tS a s k o n b r e a d e n s a
shd134|La CHICA JOVEN DIO una PISTA CLARA|l a tS i k a x o b e n d i o u n a p i s t a k l a r a
shd135|El NIÑO FUE a JUGAR a CASA de su PRIMO|e l n i J o f u e a x u g a r a k a s a d e s u p r i m o
shd136|La MUJER HIZO una LARGA LISTA de GASTOS|l a m u x e r i T o u n a l a r g a l i s t a d e g a s t o s
shd137|DAN de COMER MAÍZ y TRIGO a los POLLOS|d a n d e k o m e r m a i T i t r i g o a l o s p o L o s
shd138|La LUZ VERDE BRILLÓ FRENTE al BOSQUE|l a l u T b e r d e b r i L o f r e n t e a l b o s k e
shd139|NUESTRAS TROPAS DARÁN un FUERTE GOLPE|n u e s t r a s t r o p a s d a r a n u n f u e r t e g o l p e
shd140|Se TUMBÓ en la CAMA y se QUEDÓ TODA la NOCHE|s e t u m b o e n l a k a m a i s e k e d o t o d a l a n o tS e
shd141|CADA MES ENTRAN a ROBAR en la TIENDA|k a d a m e s e n t r a n a rr o b a r e n l a t i e n d a
shd142|El NIÑO ROMPIÓ el VASO y TIRÓ el AGUA|e l n i J o rr o m p i o e l b a s o i t i r o e l a g u a
shd143|Un VIAJE en BARCO es MÁS LENTO que en AVIÓN|u n b i a x e e n b a r k o e s m a s l e n t o k e e n a b i o n
shd144|ESTE ZUMO SABE MEJOR que OTROS|e s t e T u m o s a b e m e x o r k e o t r o s
shd145|PON la PIEZA AQUÍ sin DECIR NADA|p o n l a p i e T a a k i s i n d e T i r n a d a
shd146|Con los PALOS FINOS se HACE MEJOR el FUEGO|k o n l o s p a l o s f i n o s s e a T e m e x o r e l f u e g o
shd147|Los LIBROS SUELEN TENER TAPA DURA|l o s l i b r o s s u e l e n t e n e r t a p a d u r a
shd148|La PIEL de la FRUTA se CORTA en TIRAS ANCHAS|l a p i e l d e l a f r u t a s e k o r t a e n t i r a s a n tS a s
shd149|El CHICO USÓ el CEBO para PESCAR TRUCHAS|e l tS i k o u s o e l T e b o p a r a p e s k a r t r u tS a s
shd150|Una GOTA de LECHE CAYÓ por el BORDE de la MESA|u n a g o t a d e l e tS e k a jj o p o r e l b o r d e d e l a m e s a
shd151|Se RÍE AUNQUE le DIGAN COSAS FEAS|s e rr i e a u n k e l e d i g a n k o s a s f e a s
shd152|Una TAZA de TÉ DEJA DORMIR por la NOCHE|u n a t a T a d e t e d e x a d o r m i r p o r l a n o tS e
shd153|CORTÓ el HILO de SEDA con las DOS MANOS|k o r t o e l i l o d e s e d a k o n l a s d o s m a n o s
shd154|CIERRA SIEMPRE la PUERTA de CASA con LLAVE|T i e rr a s i e m p r e l a p u e r t a d e k a s a k o n L a b e
shd155|La MESA y la SILLA se PLIEGAN para LLEVAR al CAMPO|l a m e s a i l a s i L a s e p l i e g a n p a r a L e b a r a l k a m p o
shd156|HAY que LUCHAR para GANAR una CAUSA JUSTA|a i k e l u tS a r p a r a g a n a r u n a k a u s a x u s t a
shd157|Le CEGÓ la NUBE de POLVO que le ENTRÓ en los OJOS|l e T e g o l a n u b e d e p o l b o k e l e e n t r o e n l o s o x o s
shd158|VINO PRONTO cuando OYÓ SONAR el TIMBRE|b i n o p r o n t o k u a n d o o jj o s o n a r e l t i m b r e
shd159|DALE al BALÓN con la PUNTA de la BOTA y FUERTE|d a l e a l b a l o n k o n l a p u n t a d e l a b o t a i f u e r t e
shd160|CREO que la GUERRA es MUY CRUEL para los NIÑOS|k r e o k e l a g e rr a e s m u i k r u e l p a r a l o s n i J o s
shd161|La RISA del NIÑO nos CAMBIÓ el MAL HUMOR|l a rr i s a d e l n i J o n o s k a m b i o e l m a l u m o r
shd162|HAY POCO PAPEL, por lo que NO lo GASTO|a i p o k o p a p e l p o r l o k e n o l o g a s t o
shd163|Una CHISPA QUEMÓ el MANTEL JUSTO en el MEDIO|u n a tS i s p a k e m o e l m a n t e l x u s t o e n e l m e d i o
shd164|La FALDA ROJA se SECÓ en una PERCHA FINA|l a f a l d a rr o x a s e s e k o e n u n a p e r tS a f i n a
shd165|TODOS los NIÑOS se RÍEN cuando VAN al CIRCO|t o d o s l o s n i J o s s e rr i e n k u a n d o b a n a l T i r k o
shd166|Es MEJOR una SILLA ALTA para VER el TENIS|e s m e x o r u n a s i L a a l t a p a r a b e r e l t e n i s
shd167|Las PERAS VERDES ESTÁN AÚN DURAS|l a s p e r a s b e r d e s e s t a n a u n d u r a s
shd168|El NUEVO DOCTOR TUVO un GRAVE ERROR|e l n u e b o d o k t o r t u b o u n g r a b e e rr o r
shd169|LANZÓ la PAJA a TRAVÉS de la PUERTA de la CUADRA|l a n T o l a p a x a a t r a b e s d e l a p u e r t a d e l a k u a d r a
shd170|El LAGO se HIELA SIEMPRE que HACE FRÍO|e l l a g o s e jj e l a s i e m p r e k e a T e f r i o
shd171|El TANQUE de GAS TIENE una GRIETA FINA|e l t a n k e d e g a s t i e n e u n a g r i e t a f i n a
shd172|El CHICO LOGRÓ SALVAR su VIDA en el CICLÓN|e l tS i k o l o g r o s a l b a r s u b i d a e n e l T i k l o n
shd173|La LUCHA VA a DURAR DOS HORAS|l a l u tS a b a a d u r a r d o s o r a s
shd174|Se PUSO ROJA cuando le DIO el PRIMER BESO|s e p u s o rr o x a k u a n d o l e d i o e l p r i m e r b e s o
shd175|HAY MUCHOS BOSQUES en ESTE MONTE|a i m u tS o s b o s k e s e n e s t e m o n t e
shd176|El BANCO le HIZO al HOMBRE PAGAR su DEUDA|e l b a n k o l e i T o a l o m b r e p a g a r s u d e u d a
shd177|FUEGOS con HUMO, ni DAN LLAMAS ni CALOR|f u e g o s k o n u m o n i d a n L a m a s n i k a l o r
shd178|CERRÓ la PUERTA con FUERZA al ENTRAR en CASA|T e rr o l a p u e r t a k o n f u e r T a a l e n t r a r e n k a s a
shd179|TIRÓ el CARTÓN LEJOS del PATIO del HOTEL|t i r o e l k a r t o n l e x o s d e l p a t i o d e l o t e l
shd180|La GENTE PIENSA y HABLA de MÁS a VECES|l a x e n t e p i e n s a i a b l a d e m a s a b e T e s
shd181|La BOMBA DEJÓ TODA la CIUDAD en RUINAS|l a b o m b a d e x o t o d a l a T i u d a d e n rr u i n a s
shd182|Las PERAS de LATA no TIENEN NINGÚN SABOR|l a s p e r a s d e l a t a n o t i e n e n n i n g u n s a b o r
shd183|AYER fue el PRIMER DÍA del QUINTO MES|a jj e r f u e e l p r i m e r d i a d e l k i n t o m e s
shd184|El PERRO SIGUE al CAMIÓN que LLEVA su DUEÑO|e l p e rr o s i g e a l k a m i o n k e L e b a s u d u e J o
shd185|Un COJÍN BLANDO PARÓ el GOLPE del HOMBRE|u n k o x i n b l a n d o p a r o e l g o l p e d e l o m b r e
shd186|El JUEZ TRATÓ de CERRAR su CASO PRONTO|e l x u e T t r a t o d e T e rr a r s u k a s o p r o n t o
shd187|El FUEGO ECHA CHISPAS si SOPLAS FUERTE|e l f u e g o e tS a tS i s p a s s i s o p l a s f u e r t e
shd188|El SOL SALIÓ por el ESTE como SIEMPRE lo HACE|e l s o l s a l i o p o r e l e s t e k o m o s i e m p r e l o a T e
shd189|El HOMBRE IBA al BOSQUE a CORTAR LEÑA|e l o m b r e i b a a l b o s k e a k o r t a r l e J a
shd190|CARGÓ el ARMA con CUATRO BALAS de LATÓN|k a r g o e l a r m a k o n k u a t r o b a l a s d e l a t o n
shd191|La MADRE BATIÓ el HUEVO para HACER la CENA|l a m a d r e b a t i o e l g u e b o p a r a a T e r l a T e n a
shd192|La CHICA JOVEN se QUITÓ el GORRO de LANA|l a tS i k a x o b e n s e k i t o e l g o rr o d e l a n a
shd193|DESPUÉS de un BAÑO FRÍO se DUERME MEJOR|d e s p u e s d e u n b a J o f r i o s e d u e r m e m e x o r
shd194|Las CARTAS GRANDES se GUARDAN en DOS BALDAS|l a s k a r t a s g r a n d e s s e g u a r d a n e n d o s b a l d a s
shd195|La GENTE TIENE VARIAS FORMAS de PENSAR|l a x e n t e t i e n e b a r i a s f o r m a s d e p e n s a r
shd196|El BARCO fue a PIQUE al CHOCAR CONTRA una ROCA|e l b a r k o f u e a p i k e a l tS o k a r k o n t r a u n a rr o k a
shd197|Su BOLSO de VIAJE está LLENO de PAPEL sin USAR|s u b o l s o d e b i a x e e s t a L e n o d e p a p e l s i n u s a r
shd198|CIERRA el BOTE con la TAPA de LATÓN DURO|T i e rr a e l b o t e k o n l a t a p a d e l a t o n d u r o
shd199|Un HOMBRE RECTO NO BURLA la LEY|u n o m b r e rr e k t o n o b u r l a l a l e i
shd200|HAY un MONTÓN de PLATOS SUCIOS en la MESA|a i u n m o n t o n d e p l a t o s s u T i o s e n l a m e s a
shd201|HELÓ, NEVÓ y LLOVIÓ en el MISMO DÍA|e l o n e b o i L o b i o e n e l m i s m o d i a
shd202|PON UNA RAYA para HACER la SUMA|p o n u n a rr a jj a p a r a a T e r l a s u m a
shd203|El GRUPO se SIENTE MEJOR con la NUEVA GENTE|e l g r u p o s e s i e n t e m e x o r k o n l a n u e b a x e n t e
shd204|ATE la TAPA lo MÁS FUERTE que PUEDA|a t e l a t a p a l o m a s f u e r t e k e p u e d a
shd205|HABLÓ con el GUARDIA para SALVAR al POBRE LADRÓN|a b l o k o n e l g u a r d i a p a r a s a l b a r a l p o b r e l a d r o n
shd206|Las TRUCHAS son PECES que se PESCAN con CAÑA CORTA|l a s t r u tS a s s o n p e T e s k e s e p e s k a n k o n k a J a k o r t a
shd207|TALLÓ su ROSTRO en un BLOQUE de MÁRMOL BLANCO|t a L o s u rr o s t r o e n u n b l o k e d e m a r m o l b l a n k o
shd208|La OBRA SIGUIÓ cuando por FIN se SENTÓ la MUJER|l a o b r a s i g i o k u a n d o p o r f i n s e s e n t o l a m u x e r
shd209|Los CUENTOS de HADAS HACEN SOÑAR a los NIÑOS|l o s k u e n t o s d e a d a s a T e n s o J a r a l o s n i J o s
shd210|El CHICO CORRIÓ HACIA la GENTE y se PERDIÓ|e l tS i k o k o rr i o a T i a l a x e n t e i s e p e r d i o
shd211|CORTA el PASTEL de NATA en GRANDES TROZOS|k o r t a e l p a s t e l d e n a t a e n g r a n d e s t r o T o s
shd212|El CUENCO de COBRE BRILLA con los RAYOS del SOL|e l k u e n k o d e k o b r e b r i L a k o n l o s rr a jj o s d e l s o l
shd213|HAY que TENER MUCHO VALOR para ESTO|a i k e t e n e r m u tS o b a l o r p a r a e s t o
shd214|El LIMÓN es AGRIO pero SABE MUY BIEN|e l l i m o n e s a g r i o p e r o s a b e m u i b i e n
shd215|La LIGA de PAZ se REUNIÓ para TRATAR el TEMA|l a l i g a d e p a T s e rr e u n i o p a r a t r a t a r e l t e m a
shd216|DEJEN que el FISCAL PIDA el FALLO sobre el CASO|d e x e n k e e l f i s k a l p i d a e l f a L o s o b r e e l k a s o
shd217|PONGA una REJA de METAL DETRÁS del FUEGO|p o n g a u n a rr e x a d e m e t a l d e t r a s d e l f u e g o
